version,nthread,num_steps,runtime
"critical",1,10000,  0.000121
"reduce",1,10000,   1.3e-05
"atomic",1,10000,9.0000001e-05
"n_reduce",1,10000,   1.3e-05
"critical",1,10000,  0.000121
"reduce",1,10000,   1.3e-05
"atomic",1,10000,9.0000001e-05
"n_reduce",1,10000,   1.4e-05
"critical",1,10000,  0.000124
"reduce",1,10000,   1.3e-05
"atomic",1,10000,  0.000101
"n_reduce",1,10000,   1.4e-05
"critical",1,10000,  0.000121
"reduce",1,10000,   1.3e-05
"atomic",1,10000,9.1000002e-05
"n_reduce",1,10000,   1.4e-05
"critical",1,10000,  0.000121
"reduce",1,10000,   1.3e-05
"atomic",1,10000,9.0000001e-05
"n_reduce",1,10000,   1.3e-05
"critical",1,10000,  0.000121
"reduce",1,10000,   1.3e-05
"atomic",1,10000,9.0000001e-05
"n_reduce",1,10000,   1.4e-05
"critical",1,10000,  0.000121
"reduce",1,10000,   1.3e-05
"atomic",1,10000,9.1000002e-05
"n_reduce",1,10000,   1.3e-05
"critical",1,10000,  0.000122
"reduce",1,10000,   1.3e-05
"atomic",1,10000,9.0000001e-05
"n_reduce",1,10000,   1.4e-05
"critical",1,10000,  0.000121
"reduce",1,10000,   1.3e-05
"atomic",1,10000,9.0000001e-05
"n_reduce",1,10000,   1.4e-05
"critical",1,10000,   0.00012
"reduce",1,10000,   1.3e-05
"atomic",1,10000,9.3000002e-05
"n_reduce",1,10000,   1.4e-05
"critical",2,10000,0.00037600001
"reduce",2,10000,6.2999999e-05
"atomic",2,10000,0.00056700001
"n_reduce",2,10000,9.1000002e-05
"critical",2,10000,  0.000363
"reduce",2,10000,6.2999999e-05
"atomic",2,10000,0.00055200001
"n_reduce",2,10000,   6.4e-05
"critical",2,10000,0.00031100001
"reduce",2,10000,6.8000001e-05
"atomic",2,10000,  0.000416
"n_reduce",2,10000,7.0000002e-05
"critical",2,10000,0.00042900001
"reduce",2,10000,6.2999999e-05
"atomic",2,10000,  0.000489
"n_reduce",2,10000,5.9999998e-05
"critical",2,10000,0.00030300001
"reduce",2,10000,6.0999999e-05
"atomic",2,10000,  0.000374
"n_reduce",2,10000,   6.4e-05
"critical",2,10000,0.00023400001
"reduce",2,10000,3.9999999e-05
"atomic",2,10000,  0.000482
"n_reduce",2,10000,   5.4e-05
"critical",2,10000,0.00028199999
"reduce",2,10000,3.7999998e-05
"atomic",2,10000,0.00042299999
"n_reduce",2,10000,6.1999999e-05
"critical",2,10000,0.00026999999
"reduce",2,10000,6.2999999e-05
"atomic",2,10000,0.00039999999
"n_reduce",2,10000,   6.4e-05
"critical",2,10000,0.00032600001
"reduce",2,10000,6.1999999e-05
"atomic",2,10000,0.00044900001
"n_reduce",2,10000,6.7000001e-05
"critical",2,10000,  0.000306
