version,nthread,num_steps,runtime
"critical",1,10000,0.00012700001
"reduce",1,10000,9.9999997e-06
"atomic",1,10000,  0.000107
"n_reduce",1,10000,   1.3e-05
"critical",1,10000,0.00013499999
"reduce",1,10000,9.9999997e-06
"atomic",1,10000,9.7999997e-05
"n_reduce",1,10000,9.9999997e-06
"critical",1,10000,0.00012700001
"reduce",1,10000,9.9999997e-06
"atomic",1,10000,  0.000106
"n_reduce",1,10000,   1.2e-05
"critical",1,10000,  0.000126
"reduce",1,10000,   1.1e-05
"atomic",1,10000,9.7999997e-05
"n_reduce",1,10000,   1.2e-05
"critical",1,10000,  0.000126
"reduce",1,10000,9.9999997e-06
"atomic",1,10000,  0.000106
"n_reduce",1,10000,9.9999997e-06
"critical",1,10000,0.00013499999
"reduce",1,10000,9.9999997e-06
"atomic",1,10000,  0.000117
"n_reduce",1,10000,   1.1e-05
"critical",1,10000,  0.000126
"reduce",1,10000,9.9999997e-06
"atomic",1,10000,9.7999997e-05
"n_reduce",1,10000,   1.4e-05
"critical",1,10000,0.00012700001
"reduce",1,10000,9.9999997e-06
"atomic",1,10000,  0.000106
"n_reduce",1,10000,   1.2e-05
"critical",1,10000,0.00013299999
"reduce",1,10000,   1.1e-05
"atomic",1,10000,  0.000107
"n_reduce",1,10000,   1.1e-05
"critical",1,10000,  0.000126
"reduce",1,10000,   1.1e-05
"atomic",1,10000,9.8999997e-05
"n_reduce",1,10000,9.9999997e-06
"critical",2,10000,0.00036599999
"reduce",2,10000,5.0999999e-05
"atomic",2,10000,0.00058599998
"n_reduce",2,10000,4.5000001e-05
"critical",2,10000,0.00031500001
"reduce",2,10000,5.0999999e-05
"atomic",2,10000,0.00031500001
"n_reduce",2,10000,9.1000002e-05
"critical",2,10000,  0.000413
"reduce",2,10000,4.8999998e-05
"atomic",2,10000,0.00041199999
"n_reduce",2,10000,4.9999999e-05
"critical",2,10000,0.00036599999
"reduce",2,10000,7.5000004e-05
"atomic",2,10000,  0.000451
"n_reduce",2,10000,4.9999999e-05
"critical",2,10000,0.00042200001
"reduce",2,10000,7.1000002e-05
"atomic",2,10000,  0.000382
"n_reduce",2,10000,5.6000001e-05
"critical",2,10000,0.00030700001
"reduce",2,10000,4.6000001e-05
"atomic",2,10000,0.00041400001
"n_reduce",2,10000,4.8999998e-05
"critical",2,10000,0.00040700001
"reduce",2,10000,5.1999999e-05
"atomic",2,10000,0.00043300001
"n_reduce",2,10000,5.0999999e-05
"critical",2,10000,  0.000398
"reduce",2,10000,0.00016700001
"atomic",2,10000,0.00050000002
"n_reduce",2,10000,6.6000001e-05
"critical",2,10000,  0.000291
"reduce",2,10000,6.8000001e-05
"atomic",2,10000,0.00038899999
"n_reduce",2,10000,7.1000002e-05
"critical",2,10000,  0.000416
"reduce",2,10000,6.8000001e-05
"atomic",2,10000,0.00038799999
"n_reduce",2,10000,4.9999999e-05
"critical",4,10000,0.00078900001
"reduce",4,10000,0.00012500001
"atomic",4,10000,0.00063299999
"n_reduce",4,10000,8.8000001e-05
"critical",4,10000,0.00072399998
"reduce",4,10000,   8.5e-05
"atomic",4,10000,0.00056999997
"n_reduce",4,10000,  0.000108
"critical",4,10000,0.00072700001
"reduce",4,10000,8.8000001e-05
"atomic",4,10000,0.00058200001
"n_reduce",4,10000,8.8000001e-05
"critical",4,10000,0.00071699999
"reduce",4,10000,   0.00011
"atomic",4,10000,0.00057899999
"n_reduce",4,10000,   0.00012
"critical",4,10000,0.00073600002
"reduce",4,10000,8.3999999e-05
"atomic",4,10000,0.00056800002
"n_reduce",4,10000,  0.000116
"critical",4,10000,0.00075800001
"reduce",4,10000,   8.7e-05
"atomic",4,10000,0.00053399999
"n_reduce",4,10000,0.00012300001
"critical",4,10000,0.00074699998
"reduce",4,10000,9.8999997e-05
"atomic",4,10000,0.00054600002
"n_reduce",4,10000,9.3000002e-05
"critical",4,10000,0.00080799998
"reduce",4,10000,  0.000111
"atomic",4,10000,0.00059399998
"n_reduce",4,10000,  0.000111
"critical",4,10000,0.00075100001
"reduce",4,10000,8.9000001e-05
"atomic",4,10000,0.00056900003
"n_reduce",4,10000,  0.000115
"critical",4,10000,0.00065499998
"reduce",4,10000,  0.000101
"atomic",4,10000,0.00056000001
"n_reduce",4,10000,  0.000113
"critical",8,10000,0.00092899997
"reduce",8,10000,   0.00017
"atomic",8,10000,0.00064899999
"n_reduce",8,10000,  0.000159
"critical",8,10000,   0.00108
"reduce",8,10000,0.00017499999
"atomic",8,10000,0.0023650001
"n_reduce",8,10000,  0.000161
"critical",8,10000,0.00099500001
"reduce",8,10000,  0.000164
"atomic",8,10000,0.00063999998
"n_reduce",8,10000,  0.000187
"critical",8,10000,0.00089099997
"reduce",8,10000,  0.000158
"atomic",8,10000,0.00060700002
"n_reduce",8,10000,  0.000162
"critical",8,10000,  0.000971
"reduce",8,10000,0.00016900001
"atomic",8,10000,0.00056999997
"n_reduce",8,10000,  0.000176
"critical",8,10000,0.00088399998
"reduce",8,10000,0.00015399999
"atomic",8,10000,  0.000589
"n_reduce",8,10000,   0.00021
"critical",8,10000,0.0010930001
"reduce",8,10000,  0.000162
"atomic",8,10000,0.00059299998
"n_reduce",8,10000,0.00016900001
"critical",8,10000,0.00092999998
"reduce",8,10000,0.00015399999
"atomic",8,10000,0.00057999999
"n_reduce",8,10000,  0.000168
"critical",8,10000,0.00090799999
"reduce",8,10000,   0.00018
"atomic",8,10000,0.00055400003
"n_reduce",8,10000,0.00015199999
"critical",8,10000,0.00085900002
"reduce",8,10000,  0.000201
"atomic",8,10000,0.00058200001
"n_reduce",8,10000,  0.000163
"critical",1,1000000,   0.01266
"reduce",1,1000000,0.00089000002
"atomic",1,1000000,  0.009819
"n_reduce",1,1000000,0.00089000002
"critical",1,1000000,  0.012868
"reduce",1,1000000,0.00088499999
"atomic",1,1000000,  0.010131
"n_reduce",1,1000000,  0.000879
"critical",1,1000000,  0.012783
"reduce",1,1000000,0.00088599999
"atomic",1,1000000,0.0097679999
"n_reduce",1,1000000,0.00089600001
"critical",1,1000000,  0.012686
"reduce",1,1000000,0.00089000002
"atomic",1,1000000,    0.0103
"n_reduce",1,1000000,0.00088499999
"critical",1,1000000,  0.012702
"reduce",1,1000000,  0.000887
"atomic",1,1000000,0.0097920001
"n_reduce",1,1000000,  0.000887
"critical",1,1000000,  0.012711
"reduce",1,1000000,0.00091499998
"atomic",1,1000000,0.0098090004
"n_reduce",1,1000000,0.00088599999
"critical",1,1000000,  0.012725
"reduce",1,1000000,0.00088800001
"atomic",1,1000000,    0.0101
"n_reduce",1,1000000,0.00088499999
"critical",1,1000000,  0.012689
"reduce",1,1000000,0.00088599999
"atomic",1,1000000,0.0097890003
"n_reduce",1,1000000,0.00089099997
"critical",1,1000000,  0.012673
"reduce",1,1000000,0.00088599999
"atomic",1,1000000,0.0098090004
"n_reduce",1,1000000,  0.000895
"critical",1,1000000,   0.01265
"reduce",1,1000000,  0.000879
"atomic",1,1000000,0.0098310001
"n_reduce",1,1000000,0.00087799999
"critical",2,1000000,  0.032674
"reduce",2,1000000,0.00051799999
"atomic",2,1000000,0.033604998
"n_reduce",2,1000000,  0.000497
"critical",2,1000000,  0.034339
"reduce",2,1000000,0.00048700001
"atomic",2,1000000,  0.037216
"n_reduce",2,1000000,0.00051500002
"critical",2,1000000,  0.027019
"reduce",2,1000000,0.00051599997
"atomic",2,1000000,0.039009001
