name,nb_threads,n,runtime
3 sequential,1,1,0.269668
3_1 parallelized nodes,1,1,0.266937
3_2 parallelized n r,1,1,0.255031
3 sequential,1,1,0.243952
3_1 parallelized nodes,1,1,0.253512
3_2 parallelized n r,1,1,0.256906
3 sequential,1,1,0.242196
3_1 parallelized nodes,1,1,0.243321
3_2 parallelized n r,1,1,0.246179
3 sequential,1,1,0.257103
3_1 parallelized nodes,1,1,0.248409
3_2 parallelized n r,1,1,0.251345
3 sequential,1,1,0.238239
3_1 parallelized nodes,1,1,0.242525
3_2 parallelized n r,1,1,0.251273
3 sequential,1,1,0.24375
3_1 parallelized nodes,1,1,0.240354
3_2 parallelized n r,1,1,0.253371
3 sequential,1,1,0.246255
3_1 parallelized nodes,1,1,0.237334
3_2 parallelized n r,1,1,0.260254
3 sequential,1,1,0.247546
3_1 parallelized nodes,1,1,0.244618
3_2 parallelized n r,1,1,0.274413
3 sequential,1,1,0.242428
3_1 parallelized nodes,1,1,0.24078
3_2 parallelized n r,1,1,0.267269
3 sequential,1,1,0.256502
3_1 parallelized nodes,1,1,0.242059
3_2 parallelized n r,1,1,0.244729
3 sequential,2,1,0.245352
3_1 parallelized nodes,2,1,0.157535
3_2 parallelized n r,2,1,0.1763
3 sequential,2,1,0.246259
3_1 parallelized nodes,2,1,0.166798
3_2 parallelized n r,2,1,0.135898
3 sequential,2,1,0.240525
3_1 parallelized nodes,2,1,0.162628
3_2 parallelized n r,2,1,0.144004
3 sequential,2,1,0.241483
3_1 parallelized nodes,2,1,0.160143
3_2 parallelized n r,2,1,0.152683
3 sequential,2,1,0.242059
3_1 parallelized nodes,2,1,0.174672
3_2 parallelized n r,2,1,0.171076
3 sequential,2,1,0.247088
3_1 parallelized nodes,2,1,0.175486
3_2 parallelized n r,2,1,0.134316
3 sequential,2,1,0.243027
3_1 parallelized nodes,2,1,0.166909
3_2 parallelized n r,2,1,0.149535
3 sequential,2,1,0.247485
3_1 parallelized nodes,2,1,0.156949
3_2 parallelized n r,2,1,0.154567
3 sequential,2,1,0.239933
3_1 parallelized nodes,2,1,0.151668
3_2 parallelized n r,2,1,0.142532
3 sequential,2,1,0.244536
3_1 parallelized nodes,2,1,0.162299
3_2 parallelized n r,2,1,0.14121
3 sequential,4,1,0.263773
3_1 parallelized nodes,4,1,0.16897
3_2 parallelized n r,4,1,0.105303
3 sequential,4,1,0.246538
3_1 parallelized nodes,4,1,0.158013
3_2 parallelized n r,4,1,0.094602
3 sequential,4,1,0.260104
3_1 parallelized nodes,4,1,0.158373
3_2 parallelized n r,4,1,0.089671
3 sequential,4,1,0.252111
3_1 parallelized nodes,4,1,0.157389
3_2 parallelized n r,4,1,0.084608
3 sequential,4,1,0.247347
3_1 parallelized nodes,4,1,0.154161
3_2 parallelized n r,4,1,0.102481
3 sequential,4,1,0.239275
3_1 parallelized nodes,4,1,0.154281
3_2 parallelized n r,4,1,0.091805
3 sequential,4,1,0.243709
3_1 parallelized nodes,4,1,0.156371
3_2 parallelized n r,4,1,0.123892
3 sequential,4,1,0.244316
3_1 parallelized nodes,4,1,0.159619
3_2 parallelized n r,4,1,0.106165
3 sequential,4,1,0.263081
3_1 parallelized nodes,4,1,0.16257
3_2 parallelized n r,4,1,0.112487
3 sequential,4,1,0.269966
3_1 parallelized nodes,4,1,0.195059
3_2 parallelized n r,4,1,0.137174
3 sequential,8,1,0.312456
3_1 parallelized nodes,8,1,0.189594
3_2 parallelized n r,8,1,0.101454
3 sequential,8,1,0.269774
3_1 parallelized nodes,8,1,0.170739
3_2 parallelized n r,8,1,0.090855
3 sequential,8,1,0.267428
3_1 parallelized nodes,8,1,0.163663
3_2 parallelized n r,8,1,0.082453
3 sequential,8,1,0.258624
3_1 parallelized nodes,8,1,0.175591
3_2 parallelized n r,8,1,0.080261
3 sequential,8,1,0.24219
3_1 parallelized nodes,8,1,0.159135
3_2 parallelized n r,8,1,0.082747
3 sequential,8,1,0.26371
3_1 parallelized nodes,8,1,0.172451
3_2 parallelized n r,8,1,0.09201
3 sequential,8,1,0.259155
3_1 parallelized nodes,8,1,0.167568
3_2 parallelized n r,8,1,0.089074
3 sequential,8,1,0.302471
